_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject
860, 228/24,Online Form,2024-10-01 00:00:00,No Response,2024-01-07 00:00:00,משרד המשפטים,2024-08-08 00:00:00,Justified,38,Treatment Completed,אזרח,"חוד היועמ""ש שהוגשה בעע""מ 6542/15"""
861, 135/24,Online Form,2022-02-27 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84,Treatment Completed,אזרח,מידע דחוף
862, 32/22,Online Form,2022-04-01 00:00:00,No Response,2022-01-26 00:00:00,רשות האוכלוסין וההגירה,2022-02-27 00:00:00,Unjustified,32,Treatment Completed,אזרח,"בקשה לקבלת מידע לפי חוק חופש המידע התשנח - 1998"""
863, 281/23,Online Form,2023-01-31 00:00:00,No Response,2023-07-19 00:00:00,משרד המשפטים,2023-07-24 00:00:00,Justified,5,Treatment Completed,אזרח,ועדת החמישה
864, 100/23,Online Form,2023-01-18 00:00:00,No Response,2023-06-03 00:00:00,רשות החברות הממשלתיות,2023-05-24 00:00:00,Justified,79,Treatment Completed,עמותה,נבחרת הדירקטורים 2022
865, 247/22,Online Form,2021-10-17 00:00:00,No Response,2022-07-06 00:00:00,משרד החינוך,2022-06-13 00:00:00,Justified,6,Treatment Completed,אזרח,קיצור שבוע הלימודים
866, 414/23,Online Form,2023-06-08 00:00:00,No Response,2023-12-09 00:00:00,המשרד לירושלים ומורשת,2023-09-20 00:00:00,Unjustified,8,Treatment Completed,אזרח,ועדת איתור ליועמש
867, 500/22,Online Form,2022-02-08 00:00:00,No Response,2022-12-25 00:00:00,המשרד להגנת הסביבה,2023-05-03 00:00:00,Justified,129,Treatment Completed,עמותה,תאורה באסדת הגז לוויתן
868, 227/22,Online Form,2022-05-18 00:00:00,No Response,2022-05-24 00:00:00,משרד התחבורה והבטיחות בדרכים,2022-08-10 00:00:00,Justified,78,Treatment Completed,אזרח,"דוח תיקופים מפורט"""
869, 216/22,Online Form,2022-09-01 00:00:00,No Response,2022-05-18 00:00:00,המשרד להגנת הסביבה,2022-08-01 00:00:00,Justified,75,Treatment Completed,עמותה,פחים כתומים עיריית ירושלים
870, 57/22,Online Form,2021-12-12 00:00:00,No Response,2022-02-14 00:00:00,משרד ראש הממשלה,2022-05-26 00:00:00,Justified,101,Treatment Completed,אזרח,הספריה הלאומית
871, 180/23,Online Form,2023-01-21 00:00:00,No Response,2023-10-05 00:00:00,משטרת ישראל,2023-06-29 00:00:00,Partially Justified,50,Treatment Completed,אזרח,הפגנה מיום 14/01/2023
872, 287/22,Online Form,2022-05-22 00:00:00,No Response,2022-04-07 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2022-07-05 00:00:00,Partially Justified,1,Treatment Completed,עמותה,העסקת פלסטינים במנהל האזרחי
873, 497/23,Online Form,2023-05-24 00:00:00,No Response,2023-12-26 00:00:00,משרד הבריאות,2024-01-29 00:00:00,Justified,34,Treatment Completed,אחר,זיהומים ומכונות אקמו
874, 228/22,Online Form,2022-05-01 00:00:00,No Response,2022-05-25 00:00:00,שירות בתי הסוהר,2022-06-15 00:00:00,Justified,21,Treatment Completed,אזרח,יחידת צור
875, 220/22,Online Form,2022-06-03 00:00:00,No Response,2022-05-19 00:00:00,האפוטרופוס הכללי והכונס הרשמי,2022-08-10 00:00:00,Justified,83,Treatment Completed,אזרח,בקשות - וועד מקומי פדואל
876, 594/21,Online Form,2021-06-24 00:00:00,No Response,2021-11-24 00:00:00,רשות האוכלוסין וההגירה,2022-04-14 00:00:00,Justified,141,Treatment Completed,אזרח,קבלת תיק אישי
877, 31/22,Online Form,2021-12-14 00:00:00,No Response,2022-01-26 00:00:00,הרשות הארצית לכבאות והצלה,2022-03-03 00:00:00,Justified,36,Treatment Completed,אזרח,בקשה לקבלת מידע אודות אישורי כבאות במחוז צפון
878, 290/24,Online Form,2024-11-04 00:00:00,No Response,2024-12-08 00:00:00,משרד הבריאות,,,2,In Treatment,אזרח,"צטמ וצוות להתפרצות הפוליו - ניגודי עניינים"""
879, 275/23,Online Form,2023-07-18 00:00:00,No Response,2023-07-18 00:00:00,צהל,2023-09-21 00:00:00,Justified,65,Treatment Completed,עמותה,מימון לתהליכי שינוי מין
880, 217/22,Online Form,2022-03-14 00:00:00,No Response,2022-05-19 00:00:00,משרד החקלאות ופיתוח הכפר,2022-07-13 00:00:00,Justified,56,Treatment Completed,אזרח,מתן כמויות  של מים שהוזרמו לאגודה ובקשות נוספות
881, 311/23,Online Form,2023-05-29 00:00:00,No Response,2023-06-08 00:00:00,משרד הרווחה והשירותים החברתיים,2023-09-19 00:00:00,Justified,44,Treatment Completed,אזרח,אלין בית נועם - פרוטוקולים
882, 36/22,Online Form,2021-12-26 00:00:00,No Response,2022-01-30 00:00:00,בית חולים וולפסון,2022-02-27 00:00:00,Justified,28,Treatment Completed,אזרח,שאלוני שביעות רצון חדר 4
883, 479/22,Online Form,2022-06-22 00:00:00,No Response,2022-12-12 00:00:00,משרד הבינוי והשיכון,2023-01-05 00:00:00,Justified,24,Treatment Completed,אזרח,"הגרלה 472 פרוייקט השמורה"" - האחים חסיד"""
884, 487/22,Online Form,2022-10-18 00:00:00,No Response,2022-12-22 00:00:00,משרד החינוך,2023-02-20 00:00:00,Justified,60,Treatment Completed,אזרח,"פרוייקט צילה"""
885, 58/22,Online Form,2022-02-14 00:00:00,No Response,2022-02-14 00:00:00,משרד ראש הממשלה,2022-05-26 00:00:00,Justified,101,Treatment Completed,אחר,גיורים וועדות חריגים
886, 45/22,Online Form,2021-11-24 00:00:00,No Response,2022-07-02 00:00:00,משרד הבריאות,2022-05-26 00:00:00,Justified,108,Treatment Completed,אזרח,אימות מידע שהתקבל ממוסד אחר 
887, 324/22,Online Form,2022-02-08 00:00:00,Lack of Justification,2022-03-08 00:00:00,רשות האוכלוסין וההגירה,2022-08-18 00:00:00,Unjustified,15,Treatment Completed,אזרח,תעודות מעבר לילדי אומנה חסרי מעמד 
888, 242/23,Online Form,2022-05-26 00:00:00,No Response,2023-06-22 00:00:00,משרד הבריאות,2023-12-20 00:00:00,Justified,181,Treatment Completed,עמותה,זמני המתנה לניתוח להתאמה מגדרית
889, 279/22,Online Form,2022-02-27 00:00:00,No Response,2022-06-27 00:00:00,משרד התיירות,2022-07-20 00:00:00,Justified,23,Treatment Completed,אחר,מיזם אמפיסטאר מכתש רמון
890, 229/23,Online Form,2023-02-01 00:00:00,No Response,2023-06-15 00:00:00,רשות האוכלוסין וההגירה,2023-09-04 00:00:00,Justified,81,Treatment Completed,אזרח,מדיניות התנדבות 
891, 297/22,Online Form,2022-05-27 00:00:00,No Response,2022-07-18 00:00:00,משרד התקשורת,2022-08-01 00:00:00,Justified,14,Treatment Completed,אזרח,"קבלת עותק רישיון רטן"""
892, 478/22,Online Form,2022-06-10 00:00:00,No Response,2022-12-12 00:00:00,משרד הבריאות,2023-02-07 00:00:00,Justified,57,Treatment Completed,אחר,בקשה לקבלת מידע בעניין רשימת המדינות כאמור בבקשתנו
893, 472/23,Online Form,2023-11-13 00:00:00,No Response,2023-11-13 00:00:00,המכון הרפואי לבטיחות בדרכים,2023-12-21 00:00:00,Justified,38,Treatment Completed,אזרח,דוח תאונת עבודה
894, 272/24,Online Form,2024-03-04 00:00:00,No Response,2024-07-21 00:00:00,משרד האוצר,,,24,In Treatment,אזרח,כספים שהוקפאו מהרשות הפלסטינית
895, 161/24,Online Form,2023-09-27 00:00:00,No Response,2024-12-05 00:00:00,משרד הבריאות,2024-07-01 00:00:00,Justified,51,Treatment Completed,אזרח,הוצאות משרד הבריאות על משפיעני רשת
896, 109/22,Online Form,2022-02-16 00:00:00,Lack of Justification,2022-03-20 00:00:00,משטרת ישראל,2022-05-03 00:00:00,Unjustified,44,Treatment Completed,אזרח,"דוחות תנועה בצומת """
897, 368/23,Online Form,2022-03-30 00:00:00,No Response,2023-08-24 00:00:00,מינהל התכנון,2023-09-04 00:00:00,Unjustified,11,Treatment Completed,אזרח,בקשות ותכניות
898, 245/23,Online Form,2023-04-04 00:00:00,No Response,2023-06-25 00:00:00,צהל,2023-07-10 00:00:00,Justified,15,Treatment Completed,אחר,חלוקת מכסות בענף התעשייה והשירותים
899, 297/23,Online Form,2023-04-20 00:00:00,No Response,2023-07-27 00:00:00,צהל,2023-09-21 00:00:00,Justified,56,Treatment Completed,עמותה,שינוי סיווג מערכי נגדים במהלך חופשת הפסח 2023
900, 24/23,Online Form,2022-06-11 00:00:00,No Response,2023-01-19 00:00:00,משרד החינוך,2023-02-19 00:00:00,Justified,31,Treatment Completed,עמותה,אי מתן מענה על נתונים שנתבקשו בבקשת חופש מידע 
901, 440/23,Online Form,2022-09-18 00:00:00,No Response,2023-10-25 00:00:00,משרד הבריאות,2024-01-18 00:00:00,Justified,86,Treatment Completed,אזרח,בקשה למידע במסגרת חוק חופש המידע
902, 274/24,Online Form,2024-02-17 00:00:00,No Response,2024-07-24 00:00:00,משרד הבריאות,,,20,In Treatment,אזרח,תרומות למחקרים קליניים
903, 136/24,Online Form,2023-10-08 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84,Treatment Completed,אזרח,מידע דחוף
904, 141/24,Online Form,2022-04-19 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84,Treatment Completed,אזרח,מידע דחוף
905, 418/22,Online Form,2022-10-27 00:00:00,No Response,2022-10-28 00:00:00,משרד החינוך,2023-03-30 00:00:00,Justified,154,Treatment Completed,אזרח,תלונה נגד רכזת האגף במשרד החינוך אילנית שושני
906, 101/22,Online Form,1900-01-01 00:00:00,Environmental Information,2022-03-13 00:00:00,משרד החינוך,2022-04-11 00:00:00,Unjustified,29,Treatment Completed,אזרח,Unknown
907, 385/23,Online Form,2023-01-06 00:00:00,No Response,2023-08-27 00:00:00,צהל,2024-03-19 00:00:00,Justified,205,Treatment Completed,עמותה,"חוזה מול מועדון הלקוחות יותר"""""
908, 469/23,Online Form,2023-05-24 00:00:00,No Response,2023-12-11 00:00:00,משרד הבריאות,2024-01-22 00:00:00,Justified,71,Treatment Completed,אזרח,"בקשה לקבלת מידע בעניין דר אשר שלמון"""
909, 113/22,Online Form,2022-02-15 00:00:00,No Response,2022-03-22 00:00:00,משרד ראש הממשלה,2022-04-27 00:00:00,Justified,36,Treatment Completed,אזרח,"ועדת האיתור לתפקיד מנהל לפמ"""
910, 279/23,Online Form,2022-08-03 00:00:00,No Response,2023-07-19 00:00:00,משרד התיירות,2024-03-07 00:00:00,Justified,232,Treatment Completed,אזרח,כרם שיזף
911, 386/22,Online Form,2022-03-08 00:00:00,No Response,2022-09-20 00:00:00,משרד העבודה,2023-05-03 00:00:00,Justified,225,Treatment Completed,חברה,צווים שהוטלו על ידי המפחק סימיון
912, 281/22,Online Form,2022-02-26 00:00:00,No Response,2022-06-28 00:00:00,משרד הבריאות,2022-08-11 00:00:00,Justified,44,Treatment Completed,אזרח,הקלטת שיחה אשר ביצעתי עם המשרד
913, 22/24,Online Form,2023-11-22 00:00:00,No Response,2024-01-23 00:00:00,משרד הבינוי והשיכון,2024-02-05 00:00:00,Unjustified,14,Treatment Completed,אזרח,קביעת שכר דירה
914, 81/24,Online Form,2023-05-11 00:00:00,No Response,2024-08-03 00:00:00,משרד המשפטים,2024-03-13 00:00:00,Unjustified,5,Treatment Completed,אזרח,אי מתן מענה סמוכין 394563 מתאריך 05.11.23 
915, 107/24,Online Form,2024-02-28 00:00:00,No Response,2024-04-04 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-06-20 00:00:00,Justified,77,Treatment Completed,אזרח,דוח תיקופים קו 681
916, 416/23,Online Form,2023-07-30 00:00:00,No Response,2023-12-09 00:00:00,משרד התיירות,2024-02-29 00:00:00,Justified,170,Treatment Completed,אזרח,מסמכי יכולת פיננסית
917, 609/21,Online Form,2021-08-04 00:00:00,No Response,2021-12-12 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2022-05-26 00:00:00,Justified,165,Treatment Completed,עמותה,היתרי כניסה לישראל לצורכי עבודה ומניעות כניסת תושב
918, 182/24,Online Form,2024-11-03 00:00:00,No Response,2024-05-22 00:00:00,משרד החינוך,2024-05-29 00:00:00,Justified,8,Treatment Completed,אזרח,שימוש בפיקדון צבאי
919, 116/22,Online Form,2021-12-29 00:00:00,No Response,2022-03-22 00:00:00,המשרד לביטחון לאומי,2022-03-29 00:00:00,Justified,7,Treatment Completed,עמותה,"מידע על הריסות בתים, פינויים וחריש בנגב לשנת 2021"
920, 371/22,Online Form,2022-02-08 00:00:00,No Response,2022-04-09 00:00:00,משרד החינוך,2022-12-18 00:00:00,Justified,105,Treatment Completed,אזרח,עיון בתיק אישי - בית הספר שלנו תל מונד
921, 423/23,Online Form,2023-01-29 00:00:00,No Response,2023-09-26 00:00:00,משרד הביטחון,2023-12-13 00:00:00,Partially Justified,78,Treatment Completed,אזרח,מענים חלקיים בלבד לשתי בקשות מידע
922, 124/24,Online Form,2023-07-08 00:00:00,No Response,2024-04-17 00:00:00,משרד המשפטים,2024-05-02 00:00:00,Justified,15,Treatment Completed,עמותה,"פילוח תלונות מחש"""
923, 60/24,Online Form,2024-01-25 00:00:00,No Response,2024-02-16 00:00:00,משרד החינוך,2024-05-02 00:00:00,Unjustified,76,Treatment Completed,אזרח,סמכות ועדה פריטטית בנושא התמריצים למורים 
924, 198/22,Online Form,2022-06-01 00:00:00,No Response,2022-09-05 00:00:00,צהל,2022-08-02 00:00:00,Justified,85,Treatment Completed,אזרח,"חכירת רכבים מצהל"""
925, 2/23,Online Form,2022-05-09 00:00:00,No Response,2023-01-01 00:00:00,צהל,2023-01-04 00:00:00,Unjustified,3,Treatment Completed,אזרח,מתן מענה לא ענייני וחלקי ביותר
926, 47/23,Online Form,2022-11-25 00:00:00,No Response,2023-08-02 00:00:00,רשות מקרקעי ישראל,2023-05-31 00:00:00,Justified,112,Treatment Completed,אזרח,קבלת מידע
927, 444/22,Online Form,2022-08-05 00:00:00,No Response,2022-11-23 00:00:00,המשרד להגנת הסביבה,2023-05-24 00:00:00,Justified,182,Treatment Completed,עמותה,מפעלי תעשייה כבידה בישראל
928, 314/22,Online Form,2022-06-20 00:00:00,No Response,2022-07-28 00:00:00,רשות המסים בישראל,2022-08-07 00:00:00,Unjustified,10,Treatment Completed,אזרח,החזר כספים בגין הפקדות כספי מעסיק מקופות שונות
929, 463/23,Online Form,2023-05-31 00:00:00,No Response,2023-05-11 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-12-14 00:00:00,Unjustified,39,Treatment Completed,אזרח,אי מתן מענה סמוכין 373500 תאריך 31.05.23 
930, 367/23,Online Form,2023-07-16 00:00:00,No Response,2023-08-24 00:00:00,מינהל התכנון,2023-09-04 00:00:00,Unjustified,11,Treatment Completed,אזרח,בקשות ותכניות
931, 68/23,Online Form,2022-12-18 00:00:00,No Response,2023-02-26 00:00:00,צהל,2023-06-08 00:00:00,Justified,102,Treatment Completed,עמותה,פרסום כתבות נגד משרתי ופורשי צבא הקבע
932, 413/22,Online Form,2022-06-16 00:00:00,No Response,2022-10-23 00:00:00,צהל,2023-05-03 00:00:00,Justified,192,Treatment Completed,עמותה,אי מתן מענה לבקשת מידע 
933, 25/23,Online Form,2022-11-12 00:00:00,No Response,2023-01-19 00:00:00,משרד החינוך,2023-02-15 00:00:00,Justified,27,Treatment Completed,עמותה,אי מתן מענה לבקשת חופש מידע מיום 11.12.22 
934, 7/22,Online Form,2022-04-01 00:00:00,Annual Report,2022-04-01 00:00:00,משרד התיירות,2022-03-10 00:00:00,Unjustified,65,Treatment Completed,אזרח,Unknown
935, 219/22,Online Form,2022-02-16 00:00:00,No Response,2022-05-19 00:00:00,רשות המים והביוב,2022-06-16 00:00:00,Unjustified,29,Treatment Completed,אזרח,מידע על כמויות מים והיכן נצרכו
936, 117/24,Online Form,2023-06-12 00:00:00,No Response,2024-11-04 00:00:00,משרד הבריאות,2024-06-05 00:00:00,Justified,55,Treatment Completed,אזרח,מסמכים  שונים
937, 347/22,Online Form,2021-01-11 00:00:00,No Response,2022-08-21 00:00:00,משרד התקשורת,2022-09-14 00:00:00,Justified,24,Treatment Completed,אזרח,בקשה הנוגעת לחווד אודות פטריק דרהי
938, 223/22,Online Form,2022-02-27 00:00:00,No Response,2022-05-23 00:00:00,משרד התיירות,2022-05-25 00:00:00,Unjustified,3,Treatment Completed,אזרח,"אי כיבוד הבקשה, גרירת רגליים ופעולה ללא סמכות"
939, 245/22,Online Form,2022-02-25 00:00:00,No Response,2022-06-06 00:00:00,צהל,2022-08-11 00:00:00,Justified,66,Treatment Completed,אזרח,"מכות חום, חשיפה לקרינה וכמות בשר"
940, 239/22,Online Form,2022-03-28 00:00:00,No Response,2022-02-06 00:00:00,צהל,2022-08-01 00:00:00,Justified,60,Treatment Completed,עמותה,צווי הרחקה מנהליים
941, 485/22,Online Form,2022-08-11 00:00:00,No Response,2022-12-20 00:00:00,רשות האוכלוסין וההגירה,2022-12-28 00:00:00,Unjustified,8,Treatment Completed,אזרח,אי התייחסות לבקשה.
942, 54/22,Online Form,2022-11-01 00:00:00,No Response,2022-12-02 00:00:00,הנהלת בתי הדין הרבניים,2022-04-28 00:00:00,Justified,75,Treatment Completed,אזרח,חופש המידע בתי דין רבניים מקומות מושב דיינים
943, 175/22,Online Form,2022-03-13 00:00:00,No Response,2022-04-25 00:00:00,משרד החינוך,2022-04-28 00:00:00,Justified,3,Treatment Completed,אזרח,מסמך הנחיות של יועץ הבטיחות מטעם משרד החינוך
944, 222/24,Online Form,2024-03-14 00:00:00,No Response,2024-06-25 00:00:00,משרד הביטחון,2024-07-30 00:00:00,Justified,35,Treatment Completed,עמותה,מוניטור 1226 ו-3741
945, 481/22,Online Form,2022-04-07 00:00:00,No Response,2022-12-15 00:00:00,משרד המשפטים,2022-12-22 00:00:00,Justified,7,Treatment Completed,עמותה,"פילוח נתוני מחש"""
946, 52/22,Online Form,2021-06-02 00:00:00,No Response,2022-10-02 00:00:00,משרד הפנים,2022-03-29 00:00:00,Unjustified,47,Treatment Completed,אזרח,"כתבי מינוי נוספים של עוד בנימין זלמנוביץ"""
947, 206/23,Online Form,2023-04-14 00:00:00,No Response,2023-05-28 00:00:00,משרד האוצר,2023-07-12 00:00:00,Unjustified,45,Treatment Completed,אזרח,אי מתן מענה בקשת 14.04.23 סמוכין 366866 
948, 107/23,Online Form,2023-05-01 00:00:00,No Response,2023-10-03 00:00:00,צהל,2023-03-29 00:00:00,Justified,19,Treatment Completed,עמותה,"נתונים אודות בקשות חופש מידע המוגשות לצהל"""
949, 90/22,Online Form,2022-08-01 00:00:00,No Response,2022-07-03 00:00:00,משרד הבריאות,2022-04-12 00:00:00,Partially Justified,36,Treatment Completed,אזרח,פירוט חלוקת תמיכות
950, 1/24,Online Form,2023-10-09 00:00:00,No Response,2024-01-01 00:00:00,משרד העבודה,2024-01-04 00:00:00,Justified,3,Treatment Completed,חברה,דוחות הדרכות בטיחות
951, 461/22,Online Form,2022-01-08 00:00:00,No Response,2022-11-30 00:00:00,משרד הבריאות,2023-04-20 00:00:00,Justified,141,Treatment Completed,עמותה,מינויה של פרופ' שורץ לבחון חומר בנושא פרשת ילדי תימן
952, 202/24,Online Form,2024-03-16 00:00:00,No Response,2024-11-06 00:00:00,משרד הבריאות,2024-07-30 00:00:00,Justified,49,Treatment Completed,אזרח,"נוהל קריטריונים הקמת ועדת בדיקה רשמית, רשלנות רפואית"
953, 26/24,Online Form,2024-01-25 00:00:00,No Response,2024-01-25 00:00:00,משרד המשפטים,2024-02-08 00:00:00,Unjustified,14,Treatment Completed,עמותה,מידע לשנתון סטטיסטי
954, 352/22,Online Form,2022-05-31 00:00:00,No Response,2022-08-22 00:00:00,צהל,2023-01-26 00:00:00,Justified,157,Treatment Completed,עמותה,מדיניות גיוס בני ישיבות ציונית
955, 262/24,Online Form,2023-10-05 00:00:00,No Response,2024-07-15 00:00:00,משרד הבריאות,,,29,In Treatment,אחר,אנטיביוטיקה מסוג CEFTRIAXONE
956, 421/23,Online Form,2023-05-24 00:00:00,No Response,2023-09-26 00:00:00,משרד המשפטים,2023-12-06 00:00:00,Partially Justified,71,Treatment Completed,עמותה,"תלונות למחש"""
957, 136/23,Online Form,2022-12-15 00:00:00,No Response,2023-02-04 00:00:00,משרד החקלאות ופיתוח הכפר,2023-07-10 00:00:00,Justified,99,Treatment Completed,עמותה,רישיונות או היתרים לדיג חריג
958, 388/23,Online Form,2023-05-18 00:00:00,No Response,2023-08-29 00:00:00,משרד החינוך,2023-09-21 00:00:00,Justified,23,Treatment Completed,אזרח,תקנות זכויות התלמיד
959, 119/23,Online Form,2023-07-02 00:00:00,No Response,2023-03-16 00:00:00,משרד החינוך,2023-06-07 00:00:00,Justified,83,Treatment Completed,עמותה,נתונים לגבי מחסור בעובדי הוראה
960, 305/23,Online Form,2023-06-03 00:00:00,No Response,2023-01-08 00:00:00,משרד הבריאות,2024-01-01 00:00:00,Justified,153,Treatment Completed,אזרח,הועדה לשינוי מין
961, 438/22,Online Form,2022-03-10 00:00:00,No Response,2022-11-20 00:00:00,משרד החינוך,2023-05-24 00:00:00,Justified,185,Treatment Completed,אזרח,בקשת חופש מידע
962, 2/24,Online Form,2023-05-24 00:00:00,No Response,2024-01-01 00:00:00,משרד הבריאות,2024-02-29 00:00:00,Justified,59,Treatment Completed,אחר,מכונות אקמו
963, 228/23,Online Form,2023-03-28 00:00:00,No Response,2023-06-15 00:00:00,משרד התקשורת,2023-06-27 00:00:00,Justified,12,Treatment Completed,אזרח,רשימת בתי מלון
964, 162/24,Online Form,2023-11-24 00:00:00,No Response,2024-05-13 00:00:00,משרד המשפטים,2024-05-13 00:00:00,Unjustified,0,Treatment Completed,אזרח,אי מתן מענה ! במועד ! סמוכין 396840 תאריך 24.11.23
965, 185/23,Online Form,2023-06-02 00:00:00,Lack of Justification,2023-11-05 00:00:00,רשות האכיפה והגבייה,2023-11-08 00:00:00,Justified,181,Treatment Completed,אזרח,נתונים מהוצאה לפועל והמרכז לגביית קנסות
966, 137/24,Online Form,2023-10-07 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84,Treatment Completed,אזרח,מידע דחוף
967, 174/22,Online Form,2022-08-02 00:00:00,No Response,2022-04-25 00:00:00,משרד החינוך,2022-06-13 00:00:00,Unjustified,49,Treatment Completed,אזרח,"דוח ביקורת כספית בישיבה תיכונית גבעת שמואל"""
968, 310/22,Online Form,2022-05-17 00:00:00,No Response,2022-07-26 00:00:00,משרד הבריאות,2022-07-28 00:00:00,Unjustified,2,Treatment Completed,אזרח,בקשת חוק חופש המידע
969, 42/22,Online Form,2021-11-24 00:00:00,No Response,2022-03-02 00:00:00,צהל,2022-05-26 00:00:00,Justified,112,Treatment Completed,אזרח,נתונים על משרתות מילואים
970, 268/22,Online Form,2022-10-03 00:00:00,No Response,2022-06-16 00:00:00,משרד הבריאות,2022-07-12 00:00:00,Justified,26,Treatment Completed,אזרח,"אישור ו/או קבלת רישיון מוסד מכורים לחיים"""""
971, 46/24,Online Form,2023-03-12 00:00:00,No Response,2024-02-02 00:00:00,משרד הבריאות,2024-02-29 00:00:00,Unjustified,27,Treatment Completed,אזרח,אי מתן מענה ! במועד ! סמוכין 397777 03.12.23 
972, 184/23,Online Form,2023-04-02 00:00:00,Lack of Justification,2023-11-05 00:00:00,משרד המשפטים,2023-05-11 00:00:00,Unjustified,0,Treatment Completed,אזרח,פרוטוקולים לשכת היועמש
973, 9/23,Online Form,2022-08-23 00:00:00,No Response,2023-08-01 00:00:00,משרד הבריאות,2023-03-05 00:00:00,Justified,56,Treatment Completed,אזרח,אי מענה לקבלת תקנות 
974, 392/23,Online Form,2023-06-27 00:00:00,Lack of Justification,2023-01-09 00:00:00,מרכז רפואי שיבא,2024-01-10 00:00:00,Justified,131,Treatment Completed,אזרח,נורות פוטותרפיה
975, 239/24,Online Form,2024-05-28 00:00:00,No Response,2024-08-07 00:00:00,הרשות הארצית לכבאות והצלה,2024-08-06 00:00:00,Justified,29,Treatment Completed,אזרח,"בקשה לדוח כיבוי חוקר דליקות על שריפה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה"""
976, 6/24,Online Form,2023-03-12 00:00:00,No Response,2024-05-01 00:00:00,משרד ראש הממשלה,2024-01-29 00:00:00,Unjustified,25,Treatment Completed,אזרח,אי מתן מענה לבקשת מידע סמוכין 397772 03.12.23 
977, 39/22,Online Form,2021-05-09 00:00:00,No Response,2022-01-31 00:00:00,משרד הבריאות,2022-03-28 00:00:00,Justified,56,Treatment Completed,עמותה,מערך הפיקוח על המזון 
978, 420/23,Online Form,2023-07-16 00:00:00,No Response,2023-09-26 00:00:00,משרד החקלאות ופיתוח הכפר,2023-11-06 00:00:00,Justified,41,Treatment Completed,עמותה,ביקורות בחזיריות
979, 429/22,Online Form,2022-04-13 00:00:00,No Response,2022-11-13 00:00:00,משרד העבודה,2023-05-03 00:00:00,Justified,171,Treatment Completed,אזרח,שיתוף פעולה בין מנהל הבטיחות בזרוע ויחידת פלס
980, 269/24,Online Form,2024-05-18 00:00:00,Lack of Justification,2024-07-17 00:00:00,משרד התחבורה והבטיחות בדרכים,,,28,In Treatment,אזרח,פרוטוקולים שונים
981, 53/24,Online Form,2023-09-22 00:00:00,No Response,2024-11-02 00:00:00,משרד הבריאות,2024-04-04 00:00:00,Justified,53,Treatment Completed,אזרח,"מספר בוגרים ישראלים מחול"""
982, 354/22,Online Form,2021-10-28 00:00:00,No Response,2022-08-22 00:00:00,משטרת ישראל,2022-09-08 00:00:00,Unjustified,17,Treatment Completed,אזרח,השלמת נתונים - יוצאי אתיופיה
983, 311/22,Online Form,2022-01-31 00:00:00,No Response,2022-07-27 00:00:00,משרד התחבורה והבטיחות בדרכים,2022-08-18 00:00:00,Justified,22,Treatment Completed,אזרח,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות בגדה המערבית
984, 636/21,Online Form,2021-08-19 00:00:00,No Response,2021-12-27 00:00:00,משרד הבריאות,2022-03-28 00:00:00,Justified,91,Treatment Completed,אזרח,שאלות לגבי בידוד נגיף הקורונה
985, 26/23,Online Form,2022-11-22 00:00:00,Lack of Justification,2023-01-22 00:00:00,משרד הבינוי והשיכון,2023-04-25 00:00:00,Justified,94,Treatment Completed,אזרח,בקשה לקבלת אסמכתאות להעברת כספים
986, 28/24,Online Form,2023-07-20 00:00:00,No Response,2024-01-27 00:00:00,משרד החינוך,2024-04-11 00:00:00,Justified,75,Treatment Completed,אזרח,הפעלת סמכותו של מנהל המחוז
987, 108/23,Online Form,2022-11-21 00:00:00,No Response,2023-12-03 00:00:00,צהל,2023-06-20 00:00:00,Justified,100,Treatment Completed,עמותה,הליכי גיוס לבעלי קושי נפשי
988, 340/22,Online Form,2022-01-26 00:00:00,Lack of Justification,2022-08-15 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-01-26 00:00:00,Justified,164,Treatment Completed,אזרח,העתק ממסמכי מכרז
989, 395/22,Online Form,2022-11-05 00:00:00,No Response,2022-09-22 00:00:00,משרד הבריאות,2023-01-18 00:00:00,Justified,119,Treatment Completed,אזרח,קבלת מידע בנושא תאי לחץ גבוה ומתון
990, 5/24,Online Form,2023-08-24 00:00:00,Lack of Justification,2024-04-01 00:00:00,רשות האוכלוסין וההגירה,2024-01-25 00:00:00,Justified,21,Treatment Completed,עמותה,העתק ממרשם האוכלוסין
