_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
854, 344/23,Online Form,2023-07-17 00:00:00,No Response,2023-08-20 00:00:00,הרשות הארצית לכבאות והצלה,2024-01-29 00:00:00,Unjustified,162.0,Treatment Completed,אזרח,שליחת מסמכים,2023,8,34,0
855, 264/24,Online Form,2024-01-04 00:00:00,No Response,2024-07-16 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-07-30 00:00:00,Unjustified,14.0,Treatment Completed,אזרח,אישור מסירת עיצום,2024,7,194,0
856, 113/24,Online Form,2024-01-14 00:00:00,No Response,2024-10-04 00:00:00,משרד הבריאות,2024-06-10 00:00:00,Justified,61.0,Treatment Completed,עמותה,חלופות ניסויים בבעלי חיים,2024,10,264,1
857, 416/22,Online Form,2022-02-05 00:00:00,No Response,2022-10-26 00:00:00,משרד המשפטים,2023-05-03 00:00:00,Justified,189.0,Treatment Completed,אחר,תלונה על אי מתן מענה לבקשה לקבלת מידע על פי החוק,2022,10,263,1
858, 114/22,Online Form,2022-02-16 00:00:00,No Response,2022-03-22 00:00:00,משרד החינוך,2022-04-06 00:00:00,Justified,15.0,Treatment Completed,אזרח,גב' דלית שטאובר - ניגוד עניינים וחוות דעת,2022,3,34,1
859, 127/24,Online Form,2023-08-08 00:00:00,No Response,2024-04-24 00:00:00,משרד הבריאות,2024-07-18 00:00:00,Justified,85.0,Treatment Completed,אזרח,פרוטוקולים של הועדה הציבורית להרחבת סל השירותים,2024,4,260,1
860, 228/24,Online Form,2024-10-01 00:00:00,No Response,2024-01-07 00:00:00,משרד המשפטים,2024-08-08 00:00:00,Justified,38.0,Treatment Completed,אזרח,"חוד היועמ""ש שהוגשה בעע""מ 6542/15""",2024,1,0,1
861, 135/24,Online Form,2022-02-27 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84.0,Treatment Completed,אזרח,מידע דחוף,2024,2,708,0
862, 32/22,Online Form,2022-04-01 00:00:00,No Response,2022-01-26 00:00:00,רשות האוכלוסין וההגירה,2022-02-27 00:00:00,Unjustified,32.0,Treatment Completed,אזרח,"בקשה לקבלת מידע לפי חוק חופש המידע התשנח - 1998""",2022,1,0,0
863, 281/23,Online Form,2023-01-31 00:00:00,No Response,2023-07-19 00:00:00,משרד המשפטים,2023-07-24 00:00:00,Justified,5.0,Treatment Completed,אזרח,ועדת החמישה,2023,7,169,1
864, 100/23,Online Form,2023-01-18 00:00:00,No Response,2023-06-03 00:00:00,רשות החברות הממשלתיות,2023-05-24 00:00:00,Justified,79.0,Treatment Completed,עמותה,נבחרת הדירקטורים 2022,2023,6,136,1
865, 247/22,Online Form,2021-10-17 00:00:00,No Response,2022-07-06 00:00:00,משרד החינוך,2022-06-13 00:00:00,Justified,6.0,Treatment Completed,אזרח,קיצור שבוע הלימודים,2022,7,262,1
866, 414/23,Online Form,2023-06-08 00:00:00,No Response,2023-12-09 00:00:00,המשרד לירושלים ומורשת,2023-09-20 00:00:00,Unjustified,8.0,Treatment Completed,אזרח,ועדת איתור ליועמש,2023,12,184,0
867, 500/22,Online Form,2022-02-08 00:00:00,No Response,2022-12-25 00:00:00,המשרד להגנת הסביבה,2023-05-03 00:00:00,Justified,129.0,Treatment Completed,עמותה,תאורה באסדת הגז לוויתן,2022,12,320,1
868, 227/22,Online Form,2022-05-18 00:00:00,No Response,2022-05-24 00:00:00,משרד התחבורה והבטיחות בדרכים,2022-08-10 00:00:00,Justified,78.0,Treatment Completed,אזרח,"דוח תיקופים מפורט""",2022,5,6,1
869, 216/22,Online Form,2022-09-01 00:00:00,No Response,2022-05-18 00:00:00,המשרד להגנת הסביבה,2022-08-01 00:00:00,Justified,75.0,Treatment Completed,עמותה,פחים כתומים עיריית ירושלים,2022,5,0,1
870, 57/22,Online Form,2021-12-12 00:00:00,No Response,2022-02-14 00:00:00,משרד ראש הממשלה,2022-05-26 00:00:00,Justified,101.0,Treatment Completed,אזרח,הספריה הלאומית,2022,2,64,1
871, 180/23,Online Form,2023-01-21 00:00:00,No Response,2023-10-05 00:00:00,משטרת ישראל,2023-06-29 00:00:00,Partially Justified,50.0,Treatment Completed,אזרח,הפגנה מיום 14/01/2023,2023,10,257,0
872, 287/22,Online Form,2022-05-22 00:00:00,No Response,2022-04-07 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2022-07-05 00:00:00,Partially Justified,1.0,Treatment Completed,עמותה,העסקת פלסטינים במנהל האזרחי,2022,4,0,0
873, 497/23,Online Form,2023-05-24 00:00:00,No Response,2023-12-26 00:00:00,משרד הבריאות,2024-01-29 00:00:00,Justified,34.0,Treatment Completed,אחר,זיהומים ומכונות אקמו,2023,12,216,1
874, 228/22,Online Form,2022-05-01 00:00:00,No Response,2022-05-25 00:00:00,שירות בתי הסוהר,2022-06-15 00:00:00,Justified,21.0,Treatment Completed,אזרח,יחידת צור,2022,5,24,1
875, 220/22,Online Form,2022-06-03 00:00:00,No Response,2022-05-19 00:00:00,האפוטרופוס הכללי והכונס הרשמי,2022-08-10 00:00:00,Justified,83.0,Treatment Completed,אזרח,בקשות - וועד מקומי פדואל,2022,5,0,1
876, 594/21,Online Form,2021-06-24 00:00:00,No Response,2021-11-24 00:00:00,רשות האוכלוסין וההגירה,2022-04-14 00:00:00,Justified,141.0,Treatment Completed,אזרח,קבלת תיק אישי,2021,11,153,1
877, 31/22,Online Form,2021-12-14 00:00:00,No Response,2022-01-26 00:00:00,הרשות הארצית לכבאות והצלה,2022-03-03 00:00:00,Justified,36.0,Treatment Completed,אזרח,בקשה לקבלת מידע אודות אישורי כבאות במחוז צפון,2022,1,43,1
878, 290/24,Online Form,2024-11-04 00:00:00,No Response,2024-12-08 00:00:00,משרד הבריאות,,,2.0,In Treatment,אזרח,"צטמ וצוות להתפרצות הפוליו - ניגודי עניינים""",2024,12,34,0
879, 275/23,Online Form,2023-07-18 00:00:00,No Response,2023-07-18 00:00:00,צבא הגנה לישראל,2023-09-21 00:00:00,Justified,65.0,Treatment Completed,עמותה,מימון לתהליכי שינוי מין,2023,7,0,1
880, 217/22,Online Form,2022-03-14 00:00:00,No Response,2022-05-19 00:00:00,משרד החקלאות ופיתוח הכפר,2022-07-13 00:00:00,Justified,56.0,Treatment Completed,אזרח,מתן כמויות  של מים שהוזרמו לאגודה ובקשות נוספות,2022,5,66,1
881, 311/23,Online Form,2023-05-29 00:00:00,No Response,2023-06-08 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2023-09-19 00:00:00,Justified,44.0,Treatment Completed,אזרח,אלין בית נועם - פרוטוקולים,2023,6,10,1
882, 36/22,Online Form,2021-12-26 00:00:00,No Response,2022-01-30 00:00:00,בית חולים וולפסון,2022-02-27 00:00:00,Justified,28.0,Treatment Completed,אזרח,שאלוני שביעות רצון חדר 4,2022,1,35,1
883, 479/22,Online Form,2022-06-22 00:00:00,No Response,2022-12-12 00:00:00,משרד הבינוי והשיכון,2023-01-05 00:00:00,Justified,24.0,Treatment Completed,אזרח,"הגרלה 472 פרוייקט השמורה"" - האחים חסיד""",2022,12,173,1
884, 487/22,Online Form,2022-10-18 00:00:00,No Response,2022-12-22 00:00:00,משרד החינוך,2023-02-20 00:00:00,Justified,60.0,Treatment Completed,אזרח,"פרוייקט צילה""",2022,12,65,1
885, 58/22,Online Form,2022-02-14 00:00:00,No Response,2022-02-14 00:00:00,משרד ראש הממשלה,2022-05-26 00:00:00,Justified,101.0,Treatment Completed,אחר,גיורים וועדות חריגים,2022,2,0,1
886, 45/22,Online Form,2021-11-24 00:00:00,No Response,2022-07-02 00:00:00,משרד הבריאות,2022-05-26 00:00:00,Justified,108.0,Treatment Completed,אזרח,אימות מידע שהתקבל ממוסד אחר ,2022,7,220,1
887, 324/22,Online Form,2022-02-08 00:00:00,Lack of Justification,2022-03-08 00:00:00,רשות האוכלוסין וההגירה,2022-08-18 00:00:00,Unjustified,15.0,Treatment Completed,אזרח,תעודות מעבר לילדי אומנה חסרי מעמד ,2022,3,28,0
888, 242/23,Online Form,2022-05-26 00:00:00,No Response,2023-06-22 00:00:00,משרד הבריאות,2023-12-20 00:00:00,Justified,181.0,Treatment Completed,עמותה,זמני המתנה לניתוח להתאמה מגדרית,2023,6,392,1
889, 279/22,Online Form,2022-02-27 00:00:00,No Response,2022-06-27 00:00:00,משרד התיירות,2022-07-20 00:00:00,Justified,23.0,Treatment Completed,אחר,מיזם אמפיסטאר מכתש רמון,2022,6,120,1
890, 229/23,Online Form,2023-02-01 00:00:00,No Response,2023-06-15 00:00:00,רשות האוכלוסין וההגירה,2023-09-04 00:00:00,Justified,81.0,Treatment Completed,אזרח,מדיניות התנדבות ,2023,6,134,1
891, 297/22,Online Form,2022-05-27 00:00:00,No Response,2022-07-18 00:00:00,משרד התקשורת,2022-08-01 00:00:00,Justified,14.0,Treatment Completed,אזרח,"קבלת עותק רישיון רטן""",2022,7,52,1
892, 478/22,Online Form,2022-06-10 00:00:00,No Response,2022-12-12 00:00:00,משרד הבריאות,2023-02-07 00:00:00,Justified,57.0,Treatment Completed,אחר,בקשה לקבלת מידע בעניין רשימת המדינות כאמור בבקשתנו,2022,12,185,1
893, 472/23,Online Form,2023-11-13 00:00:00,No Response,2023-11-13 00:00:00,המכון הרפואי לבטיחות בדרכים,2023-12-21 00:00:00,Justified,38.0,Treatment Completed,אזרח,דוח תאונת עבודה,2023,11,0,1
894, 272/24,Online Form,2024-03-04 00:00:00,No Response,2024-07-21 00:00:00,משרד האוצר,,,24.0,In Treatment,אזרח,כספים שהוקפאו מהרשות הפלסטינית,2024,7,139,0
895, 161/24,Online Form,2023-09-27 00:00:00,No Response,2024-12-05 00:00:00,משרד הבריאות,2024-07-01 00:00:00,Justified,51.0,Treatment Completed,אזרח,הוצאות משרד הבריאות על משפיעני רשת,2024,12,435,1
896, 109/22,Online Form,2022-02-16 00:00:00,Lack of Justification,2022-03-20 00:00:00,משטרת ישראל,2022-05-03 00:00:00,Unjustified,44.0,Treatment Completed,אזרח,"דוחות תנועה בצומת """,2022,3,32,0
897, 368/23,Online Form,2022-03-30 00:00:00,No Response,2023-08-24 00:00:00,מינהל התכנון,2023-09-04 00:00:00,Unjustified,11.0,Treatment Completed,אזרח,בקשות ותכניות,2023,8,512,0
898, 245/23,Online Form,2023-04-04 00:00:00,No Response,2023-06-25 00:00:00,צבא הגנה לישראל,2023-07-10 00:00:00,Justified,15.0,Treatment Completed,אחר,חלוקת מכסות בענף התעשייה והשירותים,2023,6,82,1
899, 297/23,Online Form,2023-04-20 00:00:00,No Response,2023-07-27 00:00:00,צבא הגנה לישראל,2023-09-21 00:00:00,Justified,56.0,Treatment Completed,עמותה,שינוי סיווג מערכי נגדים במהלך חופשת הפסח 2023,2023,7,98,1
900, 24/23,Online Form,2022-06-11 00:00:00,No Response,2023-01-19 00:00:00,משרד החינוך,2023-02-19 00:00:00,Justified,31.0,Treatment Completed,עמותה,אי מתן מענה על נתונים שנתבקשו בבקשת חופש מידע ,2023,1,222,1
901, 440/23,Online Form,2022-09-18 00:00:00,No Response,2023-10-25 00:00:00,משרד הבריאות,2024-01-18 00:00:00,Justified,86.0,Treatment Completed,אזרח,בקשה למידע במסגרת חוק חופש המידע,2023,10,402,1
902, 274/24,Online Form,2024-02-17 00:00:00,No Response,2024-07-24 00:00:00,משרד הבריאות,,,20.0,In Treatment,אזרח,תרומות למחקרים קליניים,2024,7,158,0
903, 136/24,Online Form,2023-10-08 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84.0,Treatment Completed,אזרח,מידע דחוף,2024,2,120,0
904, 141/24,Online Form,2022-04-19 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84.0,Treatment Completed,אזרח,מידע דחוף,2024,2,657,0
905, 418/22,Online Form,2022-10-27 00:00:00,No Response,2022-10-28 00:00:00,משרד החינוך,2023-03-30 00:00:00,Justified,154.0,Treatment Completed,אזרח,תלונה נגד רכזת האגף במשרד החינוך אילנית שושני,2022,10,1,1
906, 101/22,Online Form,1900-01-01 00:00:00,Environmental Information,2022-03-13 00:00:00,משרד החינוך,2022-04-11 00:00:00,Unjustified,29.0,Treatment Completed,אזרח,Unknown,2022,3,44631,0
907, 385/23,Online Form,2023-01-06 00:00:00,No Response,2023-08-27 00:00:00,צבא הגנה לישראל,2024-03-19 00:00:00,Justified,205.0,Treatment Completed,עמותה,"חוזה מול מועדון הלקוחות יותר""""",2023,8,233,1
908, 469/23,Online Form,2023-05-24 00:00:00,No Response,2023-12-11 00:00:00,משרד הבריאות,2024-01-22 00:00:00,Justified,71.0,Treatment Completed,אזרח,"בקשה לקבלת מידע בעניין דר אשר שלמון""",2023,12,201,1
909, 113/22,Online Form,2022-02-15 00:00:00,No Response,2022-03-22 00:00:00,משרד ראש הממשלה,2022-04-27 00:00:00,Justified,36.0,Treatment Completed,אזרח,"ועדת האיתור לתפקיד מנהל לפמ""",2022,3,35,1
910, 279/23,Online Form,2022-08-03 00:00:00,No Response,2023-07-19 00:00:00,משרד התיירות,2024-03-07 00:00:00,Justified,232.0,Treatment Completed,אזרח,כרם שיזף,2023,7,350,1
911, 386/22,Online Form,2022-03-08 00:00:00,No Response,2022-09-20 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2023-05-03 00:00:00,Justified,225.0,Treatment Completed,חברה,צווים שהוטלו על ידי המפחק סימיון,2022,9,196,1
912, 281/22,Online Form,2022-02-26 00:00:00,No Response,2022-06-28 00:00:00,משרד הבריאות,2022-08-11 00:00:00,Justified,44.0,Treatment Completed,אזרח,הקלטת שיחה אשר ביצעתי עם המשרד,2022,6,122,1
913, 22/24,Online Form,2023-11-22 00:00:00,No Response,2024-01-23 00:00:00,משרד הבינוי והשיכון,2024-02-05 00:00:00,Unjustified,14.0,Treatment Completed,אזרח,קביעת שכר דירה,2024,1,62,0
914, 81/24,Online Form,2023-05-11 00:00:00,No Response,2024-08-03 00:00:00,משרד המשפטים,2024-03-13 00:00:00,Unjustified,5.0,Treatment Completed,אזרח,אי מתן מענה סמוכין 394563 מתאריך 05.11.23 ,2024,8,450,0
915, 107/24,Online Form,2024-02-28 00:00:00,No Response,2024-04-04 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-06-20 00:00:00,Justified,77.0,Treatment Completed,אזרח,דוח תיקופים קו 681,2024,4,36,1
916, 416/23,Online Form,2023-07-30 00:00:00,No Response,2023-12-09 00:00:00,משרד התיירות,2024-02-29 00:00:00,Justified,170.0,Treatment Completed,אזרח,מסמכי יכולת פיננסית,2023,12,132,1
917, 609/21,Online Form,2021-08-04 00:00:00,No Response,2021-12-12 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2022-05-26 00:00:00,Justified,165.0,Treatment Completed,עמותה,היתרי כניסה לישראל לצורכי עבודה ומניעות כניסת תושב,2021,12,130,1
918, 182/24,Online Form,2024-11-03 00:00:00,No Response,2024-05-22 00:00:00,משרד החינוך,2024-05-29 00:00:00,Justified,8.0,Treatment Completed,אזרח,שימוש בפיקדון צבאי,2024,5,0,1
919, 116/22,Online Form,2021-12-29 00:00:00,No Response,2022-03-22 00:00:00,המשרד לביטחון פנים,2022-03-29 00:00:00,Justified,7.0,Treatment Completed,עמותה,"מידע על הריסות בתים, פינויים וחריש בנגב לשנת 2021",2022,3,83,1
920, 371/22,Online Form,2022-02-08 00:00:00,No Response,2022-04-09 00:00:00,משרד החינוך,2022-12-18 00:00:00,Justified,105.0,Treatment Completed,אזרח,עיון בתיק אישי - בית הספר שלנו תל מונד,2022,4,60,1
921, 423/23,Online Form,2023-01-29 00:00:00,No Response,2023-09-26 00:00:00,משרד הביטחון,2023-12-13 00:00:00,Partially Justified,78.0,Treatment Completed,אזרח,מענים חלקיים בלבד לשתי בקשות מידע,2023,9,240,0
922, 124/24,Online Form,2023-07-08 00:00:00,No Response,2024-04-17 00:00:00,משרד המשפטים,2024-05-02 00:00:00,Justified,15.0,Treatment Completed,עמותה,"פילוח תלונות מחש""",2024,4,284,1
923, 60/24,Online Form,2024-01-25 00:00:00,No Response,2024-02-16 00:00:00,משרד החינוך,2024-05-02 00:00:00,Unjustified,76.0,Treatment Completed,אזרח,סמכות ועדה פריטטית בנושא התמריצים למורים ,2024,2,22,0
924, 198/22,Online Form,2022-06-01 00:00:00,No Response,2022-09-05 00:00:00,צבא הגנה לישראל,2022-08-02 00:00:00,Justified,85.0,Treatment Completed,אזרח,"חכירת רכבים מצהל""",2022,9,96,1
925, 2/23,Online Form,2022-05-09 00:00:00,No Response,2023-01-01 00:00:00,צבא הגנה לישראל,2023-01-04 00:00:00,Unjustified,3.0,Treatment Completed,אזרח,מתן מענה לא ענייני וחלקי ביותר,2023,1,237,0
926, 47/23,Online Form,2022-11-25 00:00:00,No Response,2023-08-02 00:00:00,רשות מקרקעי ישראל,2023-05-31 00:00:00,Justified,112.0,Treatment Completed,אזרח,קבלת מידע,2023,8,250,1
927, 444/22,Online Form,2022-08-05 00:00:00,No Response,2022-11-23 00:00:00,המשרד להגנת הסביבה,2023-05-24 00:00:00,Justified,182.0,Treatment Completed,עמותה,מפעלי תעשייה כבידה בישראל,2022,11,110,1
928, 314/22,Online Form,2022-06-20 00:00:00,No Response,2022-07-28 00:00:00,רשות המסים בישראל,2022-08-07 00:00:00,Unjustified,10.0,Treatment Completed,אזרח,החזר כספים בגין הפקדות כספי מעסיק מקופות שונות,2022,7,38,0
929, 463/23,Online Form,2023-05-31 00:00:00,No Response,2023-05-11 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-12-14 00:00:00,Unjustified,39.0,Treatment Completed,אזרח,אי מתן מענה סמוכין 373500 תאריך 31.05.23 ,2023,5,0,0
930, 367/23,Online Form,2023-07-16 00:00:00,No Response,2023-08-24 00:00:00,מינהל התכנון,2023-09-04 00:00:00,Unjustified,11.0,Treatment Completed,אזרח,בקשות ותכניות,2023,8,39,0
931, 68/23,Online Form,2022-12-18 00:00:00,No Response,2023-02-26 00:00:00,צבא הגנה לישראל,2023-06-08 00:00:00,Justified,102.0,Treatment Completed,עמותה,פרסום כתבות נגד משרתי ופורשי צבא הקבע,2023,2,70,1
932, 413/22,Online Form,2022-06-16 00:00:00,No Response,2022-10-23 00:00:00,צבא הגנה לישראל,2023-05-03 00:00:00,Justified,192.0,Treatment Completed,עמותה,אי מתן מענה לבקשת מידע ,2022,10,129,1
933, 25/23,Online Form,2022-11-12 00:00:00,No Response,2023-01-19 00:00:00,משרד החינוך,2023-02-15 00:00:00,Justified,27.0,Treatment Completed,עמותה,אי מתן מענה לבקשת חופש מידע מיום 11.12.22 ,2023,1,68,1
934, 7/22,Online Form,2022-04-01 00:00:00,Annual Report,2022-04-01 00:00:00,משרד התיירות,2022-03-10 00:00:00,Unjustified,65.0,Treatment Completed,אזרח,Unknown,2022,4,0,0
935, 219/22,Online Form,2022-02-16 00:00:00,No Response,2022-05-19 00:00:00,רשות המים והביוב,2022-06-16 00:00:00,Unjustified,29.0,Treatment Completed,אזרח,מידע על כמויות מים והיכן נצרכו,2022,5,92,0
936, 117/24,Online Form,2023-06-12 00:00:00,No Response,2024-11-04 00:00:00,משרד הבריאות,2024-06-05 00:00:00,Justified,55.0,Treatment Completed,אזרח,מסמכים  שונים,2024,11,511,1
937, 347/22,Online Form,2021-01-11 00:00:00,No Response,2022-08-21 00:00:00,משרד התקשורת,2022-09-14 00:00:00,Justified,24.0,Treatment Completed,אזרח,בקשה הנוגעת לחווד אודות פטריק דרהי,2022,8,587,1
938, 223/22,Online Form,2022-02-27 00:00:00,No Response,2022-05-23 00:00:00,משרד התיירות,2022-05-25 00:00:00,Unjustified,3.0,Treatment Completed,אזרח,"אי כיבוד הבקשה, גרירת רגליים ופעולה ללא סמכות",2022,5,85,0
939, 245/22,Online Form,2022-02-25 00:00:00,No Response,2022-06-06 00:00:00,צבא הגנה לישראל,2022-08-11 00:00:00,Justified,66.0,Treatment Completed,אזרח,"מכות חום, חשיפה לקרינה וכמות בשר",2022,6,101,1
940, 239/22,Online Form,2022-03-28 00:00:00,No Response,2022-02-06 00:00:00,צבא הגנה לישראל,2022-08-01 00:00:00,Justified,60.0,Treatment Completed,עמותה,צווי הרחקה מנהליים,2022,2,0,1
941, 485/22,Online Form,2022-08-11 00:00:00,No Response,2022-12-20 00:00:00,רשות האוכלוסין וההגירה,2022-12-28 00:00:00,Unjustified,8.0,Treatment Completed,אזרח,אי התייחסות לבקשה.,2022,12,131,0
942, 54/22,Online Form,2022-11-01 00:00:00,No Response,2022-12-02 00:00:00,הנהלת בתי הדין הרבניים,2022-04-28 00:00:00,Justified,75.0,Treatment Completed,אזרח,חופש המידע בתי דין רבניים מקומות מושב דיינים,2022,12,31,1
943, 175/22,Online Form,2022-03-13 00:00:00,No Response,2022-04-25 00:00:00,משרד החינוך,2022-04-28 00:00:00,Justified,3.0,Treatment Completed,אזרח,מסמך הנחיות של יועץ הבטיחות מטעם משרד החינוך,2022,4,43,1
944, 222/24,Online Form,2024-03-14 00:00:00,No Response,2024-06-25 00:00:00,משרד הביטחון,2024-07-30 00:00:00,Justified,35.0,Treatment Completed,עמותה,מוניטור 1226 ו-3741,2024,6,103,1
945, 481/22,Online Form,2022-04-07 00:00:00,No Response,2022-12-15 00:00:00,משרד המשפטים,2022-12-22 00:00:00,Justified,7.0,Treatment Completed,עמותה,"פילוח נתוני מחש""",2022,12,252,1
946, 52/22,Online Form,2021-06-02 00:00:00,No Response,2022-10-02 00:00:00,משרד הפנים,2022-03-29 00:00:00,Unjustified,47.0,Treatment Completed,אזרח,"כתבי מינוי נוספים של עוד בנימין זלמנוביץ""",2022,10,487,0
947, 206/23,Online Form,2023-04-14 00:00:00,No Response,2023-05-28 00:00:00,משרד האוצר,2023-07-12 00:00:00,Unjustified,45.0,Treatment Completed,אזרח,אי מתן מענה בקשת 14.04.23 סמוכין 366866 ,2023,5,44,0
948, 107/23,Online Form,2023-05-01 00:00:00,No Response,2023-10-03 00:00:00,צבא הגנה לישראל,2023-03-29 00:00:00,Justified,19.0,Treatment Completed,עמותה,"נתונים אודות בקשות חופש מידע המוגשות לצהל""",2023,10,155,1
949, 90/22,Online Form,2022-08-01 00:00:00,No Response,2022-07-03 00:00:00,משרד הבריאות,2022-04-12 00:00:00,Partially Justified,36.0,Treatment Completed,אזרח,פירוט חלוקת תמיכות,2022,7,0,0
950, 1/24,Online Form,2023-10-09 00:00:00,No Response,2024-01-01 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-01-04 00:00:00,Justified,3.0,Treatment Completed,חברה,דוחות הדרכות בטיחות,2024,1,84,1
951, 461/22,Online Form,2022-01-08 00:00:00,No Response,2022-11-30 00:00:00,משרד הבריאות,2023-04-20 00:00:00,Justified,141.0,Treatment Completed,עמותה,מינויה של פרופ' שורץ לבחון חומר בנושא פרשת ילדי תימן,2022,11,326,1
952, 202/24,Online Form,2024-03-16 00:00:00,No Response,2024-11-06 00:00:00,משרד הבריאות,2024-07-30 00:00:00,Justified,49.0,Treatment Completed,אזרח,"נוהל קריטריונים הקמת ועדת בדיקה רשמית, רשלנות רפואית",2024,11,235,1
953, 26/24,Online Form,2024-01-25 00:00:00,No Response,2024-01-25 00:00:00,משרד המשפטים,2024-02-08 00:00:00,Unjustified,14.0,Treatment Completed,עמותה,מידע לשנתון סטטיסטי,2024,1,0,0
954, 352/22,Online Form,2022-05-31 00:00:00,No Response,2022-08-22 00:00:00,צבא הגנה לישראל,2023-01-26 00:00:00,Justified,157.0,Treatment Completed,עמותה,מדיניות גיוס בני ישיבות ציונית,2022,8,83,1
955, 262/24,Online Form,2023-10-05 00:00:00,No Response,2024-07-15 00:00:00,משרד הבריאות,,,29.0,In Treatment,אחר,אנטיביוטיקה מסוג CEFTRIAXONE,2024,7,284,0
956, 421/23,Online Form,2023-05-24 00:00:00,No Response,2023-09-26 00:00:00,משרד המשפטים,2023-12-06 00:00:00,Partially Justified,71.0,Treatment Completed,עמותה,"תלונות למחש""",2023,9,125,0
957, 136/23,Online Form,2022-12-15 00:00:00,No Response,2023-02-04 00:00:00,משרד החקלאות ופיתוח הכפר,2023-07-10 00:00:00,Justified,99.0,Treatment Completed,עמותה,רישיונות או היתרים לדיג חריג,2023,2,51,1
958, 388/23,Online Form,2023-05-18 00:00:00,No Response,2023-08-29 00:00:00,משרד החינוך,2023-09-21 00:00:00,Justified,23.0,Treatment Completed,אזרח,תקנות זכויות התלמיד,2023,8,103,1
959, 119/23,Online Form,2023-07-02 00:00:00,No Response,2023-03-16 00:00:00,משרד החינוך,2023-06-07 00:00:00,Justified,83.0,Treatment Completed,עמותה,נתונים לגבי מחסור בעובדי הוראה,2023,3,0,1
960, 305/23,Online Form,2023-06-03 00:00:00,No Response,2023-01-08 00:00:00,משרד הבריאות,2024-01-01 00:00:00,Justified,153.0,Treatment Completed,אזרח,הועדה לשינוי מין,2023,1,0,1
961, 438/22,Online Form,2022-03-10 00:00:00,No Response,2022-11-20 00:00:00,משרד החינוך,2023-05-24 00:00:00,Justified,185.0,Treatment Completed,אזרח,בקשת חופש מידע,2022,11,255,1
962, 2/24,Online Form,2023-05-24 00:00:00,No Response,2024-01-01 00:00:00,משרד הבריאות,2024-02-29 00:00:00,Justified,59.0,Treatment Completed,אחר,מכונות אקמו,2024,1,222,1
963, 228/23,Online Form,2023-03-28 00:00:00,No Response,2023-06-15 00:00:00,משרד התקשורת,2023-06-27 00:00:00,Justified,12.0,Treatment Completed,אזרח,רשימת בתי מלון,2023,6,79,1
964, 162/24,Online Form,2023-11-24 00:00:00,No Response,2024-05-13 00:00:00,משרד המשפטים,2024-05-13 00:00:00,Unjustified,0.0,Treatment Completed,אזרח,אי מתן מענה ! במועד ! סמוכין 396840 תאריך 24.11.23,2024,5,171,0
965, 185/23,Online Form,2023-06-02 00:00:00,Lack of Justification,2023-11-05 00:00:00,רשות האכיפה והגבייה,2023-11-08 00:00:00,Justified,181.0,Treatment Completed,אזרח,נתונים מהוצאה לפועל והמרכז לגביית קנסות,2023,11,156,1
966, 137/24,Online Form,2023-10-07 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84.0,Treatment Completed,אזרח,מידע דחוף,2024,2,121,0
967, 174/22,Online Form,2022-08-02 00:00:00,No Response,2022-04-25 00:00:00,משרד החינוך,2022-06-13 00:00:00,Unjustified,49.0,Treatment Completed,אזרח,"דוח ביקורת כספית בישיבה תיכונית גבעת שמואל""",2022,4,0,0
968, 310/22,Online Form,2022-05-17 00:00:00,No Response,2022-07-26 00:00:00,משרד הבריאות,2022-07-28 00:00:00,Unjustified,2.0,Treatment Completed,אזרח,בקשת חוק חופש המידע,2022,7,70,0
969, 42/22,Online Form,2021-11-24 00:00:00,No Response,2022-03-02 00:00:00,צבא הגנה לישראל,2022-05-26 00:00:00,Justified,112.0,Treatment Completed,אזרח,נתונים על משרתות מילואים,2022,3,98,1
970, 268/22,Online Form,2022-10-03 00:00:00,No Response,2022-06-16 00:00:00,משרד הבריאות,2022-07-12 00:00:00,Justified,26.0,Treatment Completed,אזרח,"אישור ו/או קבלת רישיון מוסד מכורים לחיים""""",2022,6,0,1
971, 46/24,Online Form,2023-03-12 00:00:00,No Response,2024-02-02 00:00:00,משרד הבריאות,2024-02-29 00:00:00,Unjustified,27.0,Treatment Completed,אזרח,אי מתן מענה ! במועד ! סמוכין 397777 03.12.23 ,2024,2,327,0
