_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
354, 432/22,2022-07-17 00:00:00,2022-11-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מתן מתן לקבלת תקנות ,סיום טיפול,מוצדק,20/04/2023,156
355, 115/22,2022-01-25 00:00:00,2022-03-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פנייה לנציב קבילות הרופאים,סיום טיפול,בלתי מוצדק,09/05/2022,48
356, 132/22,2022-02-23 00:00:00,2022-03-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",נתונים על דין משמעתי,סיום טיפול,מוצדק,30/05/2022,64
357, 9/24,2023-05-09 00:00:00,2024-07-01 00:00:00,טופס מקוון,עמותה,מרכז טאוב לחקר המדיניות החברתית בישראל,אי מתן מענה,משרד הבריאות,אשפוז עקב חשיפה לחום,סיום טיפול,מוצדק,13/03/2024,66
358, 16/22,2021-07-11 00:00:00,2022-01-17 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד הביטחון,ניסויים בבעלי חיים במשרד הביטחון,סיום טיפול,מוצדק,21/02/2022,35
359, 300/23,2023-07-16 00:00:00,2023-07-30 00:00:00,טופס מקוון,אזרח,,פרסום הנחיות מנהליות,הרשות הארצית לכבאות והצלה,,סיום טיפול,מוצדק,19/09/2023,52
360, 237/22,2021-12-13 00:00:00,2022-02-06 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,"החלטות וועדות, מידע אודות המבקש ומידע סטטיסטי",סיום טיפול,מוצדק,01/08/2022,60
361, 252/23,2023-07-05 00:00:00,2023-06-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה לבקשה 07.05.23 סמוכין 370052 ,סיום טיפול,בלתי מוצדק,09/11/2023,134
362, 71/22,2021-12-26 00:00:00,2022-02-22 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד העבודה,אמל שבלי,סיום טיפול,מוצדק,26/05/2022,93
363, 339/21,2021-11-07 00:00:00,2021-11-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"בית החולים הצרפתי, נצרת",סיום טיפול,בלתי מוצדק,21/02/2022,225
364, 337/21,2020-08-03 00:00:00,2021-11-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",אי מתן מענה לפי הוראות החוק,סיום טיפול,מוצדק,16/03/2022,248
365, 335/21,2020-12-30 00:00:00,2021-08-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה, חשיפת יומנו של נציב הכבאות,סיום טיפול,מוצדק,10/03/2022,245
366, 332/21,2020-12-21 00:00:00,2021-05-07 00:00:00,טופס מקוון,חברה,,אי מתן מענה,המשרד להגנת הסביבה,בקשת מידע על מפעל כנפית,סיום טיפול,מוצדק,16/03/2022,254
367, 320/21,2021-03-02 00:00:00,2021-06-23 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הבריאות,פרוטוקול טיפול תרופתי בחולי קורונה,סיום טיפול,בלתי מוצדק,09/08/2021,47
368, 319/21,2021-04-22 00:00:00,2021-06-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,נתוני תמותה בישראל,סיום טיפול,מוצדק,27/04/2022,308
369, 315/21,2019-05-22 00:00:00,2021-06-17 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,הכרעת דין בנושא עגורנים שהועברה למשרד העבודה לטיפול,סיום טיפול,בלתי מוצדק,11/05/2023,693
370, 306/21,2020-07-12 00:00:00,2021-06-13 00:00:00,טופס מקוון,עמותה,מוסרי,אי מתן מענה,משרד החינוך,שימועים ובדיקות לגבי מנהל,סיום טיפול,מוצדק,30/08/2021,78
371, 305/21,2021-03-24 00:00:00,2021-06-13 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הבריאות,רשיון יבואן 7315,סיום טיפול,מוצדק,14/12/2021,184
372, 299/21,2021-04-14 00:00:00,2021-07-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,אכיפה בתחום פסולת הבניה,סיום טיפול,בלתי מוצדק,09/06/2021,2
373, 296/21,2021-03-02 00:00:00,2021-07-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",חאן לבונה,סיום טיפול,מוצדק,18/08/2021,72
374, 267/21,2021-02-22 00:00:00,2021-05-23 00:00:00,טופס מקוון,עמותה,הטלוויזיה החברתית - לקידום סדר יום חברתי בישראל,אי מתן מענה,"צהל""",נתונים על מספר הפטורים שהצבא הנפיק מסיבות רפואיות-נפשיות ומספר ההתאבדויות של חיילים בתקופה של חמש שנים.,סיום טיפול,מוצדק,27/04/2022,339
375, 258/21,2020-06-01 00:00:00,2021-05-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","בקשת מידע לקבלת נתונים שנאספו עליי במיונים לצהל.""",סיום טיפול,מוצדק,14/12/2021,210
376, 257/21,2021-04-18 00:00:00,2021-05-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,הנחיות בגיור,סיום טיפול,מוצדק,07/11/2021,173
377, 256/21,2021-04-04 00:00:00,2021-05-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,הנחיות בגיור,סיום טיפול,בלתי מוצדק,07/11/2021,173
378, 255/21,2021-02-16 00:00:00,2021-05-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מספר נפגעים מתקיפת כלבים,סיום טיפול,מוצדק,16/08/2021,90
379, 250/21,2020-08-24 00:00:00,2021-05-13 00:00:00,טופס מקוון,עמותה,המשפט בשירות הזיקנה,אי מתן מענה,משרד הבריאות,חולי ונפטרי נגיף הקורונה,סיום טיפול,מוצדק,14/12/2021,215
380, 249/21,2020-09-24 00:00:00,2021-12-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,פרסום מניעויות דיינים,סיום טיפול,בלתי מוצדק,20/05/2021,8
381, 244/21,2020-06-12 00:00:00,2021-10-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"מתאם פעולות הממשלה בשטחים (מתפש)""",אי מתן מענה - מעבר אלנבי פלסטינים,סיום טיפול,בלתי מוצדק,11/05/2021,1
382, 238/21,2021-04-04 00:00:00,2021-07-05 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,דוח ria,סיום טיפול,בלתי מוצדק,01/06/2021,25
383, 236/21,2021-05-04 00:00:00,2021-06-05 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,מידע ב 3 בקשות,סיום טיפול,בלתי מוצדק,01/06/2021,26
384, 235/21,2021-10-02 00:00:00,2021-06-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,קבלת מידע בנושא הקרן לעסקים בערבות המדינה,סיום טיפול,מוצדק,17/11/2021,195
385, 234/21,2021-01-02 00:00:00,2021-05-05 00:00:00,טופס מקוון,עמותה,"התנועה לחופש המידע (ער)""",אי מתן מענה,משרד הבריאות,מרכזים אקוטיים וטיפול בערכות אונס,סיום טיפול,מוצדק,14/12/2021,223
386, 233/21,2021-02-14 00:00:00,2021-05-05 00:00:00,טופס מקוון,עמותה,"התנועה לחופש המידע (ער)""",אי מתן מענה,משרד ראש הממשלה,חומרי רקע מדיוני קבינט הקורונה ומדיניות הפרסום שלו,סיום טיפול,מוצדק,14/12/2021,223
387, 232/21,2021-07-03 00:00:00,2021-05-05 00:00:00,טופס מקוון,עמותה,"התנועה לחופש המידע (ער)""",אי מתן מענה,משרד ראש הממשלה,התכנית להעברת חיסונים למדינות זרות,סיום טיפול,מוצדק,14/12/2021,223
388, 227/21,2020-12-31 00:00:00,2021-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,יומן שר המשפטים,סיום טיפול,מוצדק,30/08/2021,120
389, 396/23,2023-03-20 00:00:00,2023-04-09 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,שירות בתי הסוהר,רכישות בקנטינה,סיום טיפול,מוצדק,18/01/2024,136
390, 395/23,2023-03-29 00:00:00,2023-04-09 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,שירות בתי הסוהר,אסיר נזקק ועיקולים,סיום טיפול,מוצדק,24/01/2024,142
391, 391/23,2023-05-25 00:00:00,2023-09-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,פנימיית אורנים,סיום טיפול,מוצדק,28/03/2024,211
392, 399/23,2023-02-15 00:00:00,2023-08-21 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פירוט טיפול בפניות,סיום טיפול,בלתי מוצדק,14/12/2023,99
393, 411/23,2023-01-31 00:00:00,2023-10-09 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,נתונים גולמיים של הגרלות הסטאז',סיום טיפול,מוצדק,21/09/2023,9
394, 198/24,2024-11-04 00:00:00,2024-03-06 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד המשפטים,דרוג עובדים רשות השידור,סיום טיפול,בלתי מוצדק,20/06/2024,17
395, 208/24,2024-01-06 00:00:00,2024-06-13 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד המשפטים,עיון בתיק חקירה 16020,סיום טיפול,מוצדק,31/07/2024,44
396, 231/24,2024-03-31 00:00:00,2024-04-07 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד המשפטים,"חווד משרד המשפטים""",סיום טיפול,מוצדק,01/08/2024,28
397, 280/24,2024-01-06 00:00:00,2024-06-13 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד המשפטים,עיון בתיק חקירה 16020,בטיפול,,,14
398, 282/23,2023-10-06 00:00:00,2023-07-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,קבלת הקלטות שיחה,סיום טיפול,בלתי מוצדק,08/08/2023,20
399, 235/24,2023-12-31 00:00:00,2024-07-07 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,פרטים אודות משאית MAN מדגם TGS,סיום טיפול,מוצדק,11/07/2024,4
400, 231/22,2022-09-03 00:00:00,2022-05-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,תמיכות משרד ההתיישבות בהקמה ותפעול של מחלקות סיור ,סיום טיפול,מוצדק,13/07/2022,44
401, 210/24,2024-11-02 00:00:00,2024-06-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,צי האוטובוסים של חברת גלים,סיום טיפול,מוצדק,30/07/2024,41
402, 33/22,2021-10-19 00:00:00,2022-01-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,ביצוע החלטות הממשלה,סיום טיפול,מוצדק,26/05/2022,119
403, 61/24,2024-08-01 00:00:00,2024-02-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,אי מתן מענה,סיום טיפול,בלתי מוצדק,26/02/2024,7
404, 190/23,2023-10-01 00:00:00,2023-05-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,דוח בדיקה על השפעת נוכחות שיטור,סיום טיפול,מוצדק,28/06/2023,43
405, 415/23,2023-01-08 00:00:00,2023-12-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,נהלי משרד התיירות,סיום טיפול,מוצדק,29/02/2024,170
406, 611/21,2021-12-13 00:00:00,2021-12-15 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,רשות המסים בישראל,פטור חלקי ממס רכישה לנכה,סיום טיפול,בלתי מוצדק,10/03/2022,85
407, 477/22,2022-02-12 00:00:00,2022-12-12 00:00:00,טופס מקוון,אזרח,,אגרות,הרשות הארצית לכבאות והצלה,דרישה לחשיפת ההנחיות המינהליות של הרשות הארצית לכב,סיום טיפול,מוצדק,20/02/2023,70
408, 484/23,2023-04-17 00:00:00,2023-11-21 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פורמולת מזון לתינוקות נוטרילון,סיום טיפול,מוצדק,31/01/2024,71
409, 68/24,2024-01-22 00:00:00,2024-02-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הרכב הוועדה בנושא המדיניות על הסיגריות האלקטרוניות,סיום טיפול,מוצדק,13/05/2024,77
410, 344/23,2023-07-17 00:00:00,2023-08-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,שליחת מסמכים,סיום טיפול,בלתי מוצדק,29/01/2024,162
411, 264/24,2024-01-04 00:00:00,2024-07-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,אישור מסירת עיצום,סיום טיפול,בלתי מוצדק,30/07/2024,14
412, 113/24,2024-01-14 00:00:00,2024-10-04 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד הבריאות,חלופות ניסויים בבעלי חיים,סיום טיפול,מוצדק,10/06/2024,61
413, 416/22,2022-02-05 00:00:00,2022-10-26 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד המשפטים,תלונה על אי מתן מענה לבקשה לקבלת מידע על פי החוק,סיום טיפול,מוצדק,03/05/2023,189
414, 114/22,2022-02-16 00:00:00,2022-03-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,גב' דלית שטאובר - ניגוד עניינים וחוות דעת,סיום טיפול,מוצדק,06/04/2022,15
415, 127/24,2023-08-08 00:00:00,2024-04-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פרוטוקולים של הועדה הציבורית להרחבת סל השירותים,סיום טיפול,מוצדק,18/07/2024,85
416, 228/24,2024-10-01 00:00:00,2024-01-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,"חוד היועמ""ש שהוגשה בעע""מ 6542/15""",סיום טיפול,מוצדק,08/08/2024,38
417, 135/24,2022-02-27 00:00:00,2024-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע דחוף,סיום טיפול,בלתי מוצדק,25/07/2024,84
418, 32/22,2022-04-01 00:00:00,2022-01-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,"בקשה לקבלת מידע לפי חוק חופש המידע התשנח - 1998""",סיום טיפול,בלתי מוצדק,27/02/2022,32
419, 281/23,2023-01-31 00:00:00,2023-07-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,ועדת החמישה,סיום טיפול,מוצדק,24/07/2023,5
420, 100/23,2023-01-18 00:00:00,2023-06-03 00:00:00,טופס מקוון,עמותה,"ק.מ.ח. קידום מקצועי חרדי ער""",אי מתן מענה,רשות החברות הממשלתיות,נבחרת הדירקטורים 2022,סיום טיפול,מוצדק,24/05/2023,79
421, 247/22,2021-10-17 00:00:00,2022-07-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,קיצור שבוע הלימודים,סיום טיפול,מוצדק,13/06/2022,6
422, 414/23,2023-06-08 00:00:00,2023-12-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד לירושלים ומורשת,ועדת איתור ליועמש,סיום טיפול,בלתי מוצדק,20/09/2023,8
423, 500/22,2022-02-08 00:00:00,2022-12-25 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,המשרד להגנת הסביבה,תאורה באסדת הגז לוויתן,סיום טיפול,מוצדק,03/05/2023,129
424, 227/22,2022-05-18 00:00:00,2022-05-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,"דוח תיקופים מפורט""",סיום טיפול,מוצדק,10/08/2022,78
425, 216/22,2022-09-01 00:00:00,2022-05-18 00:00:00,טופס מקוון,עמותה,התעוררות בירושלים,אי מתן מענה,המשרד להגנת הסביבה,פחים כתומים עיריית ירושלים,סיום טיפול,מוצדק,01/08/2022,75
426, 57/22,2021-12-12 00:00:00,2022-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,הספריה הלאומית,סיום טיפול,מוצדק,26/05/2022,101
427, 180/23,2023-01-21 00:00:00,2023-10-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,הפגנה מיום 14/01/2023,סיום טיפול,מוצדק חלקית,29/06/2023,50
428, 287/22,2022-05-22 00:00:00,2022-04-07 00:00:00,טופס מקוון,עמותה,עד כאן - צעירים למען ישראל,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,העסקת פלסטינים במנהל האזרחי,סיום טיפול,מוצדק חלקית,05/07/2022,1
429, 497/23,2023-05-24 00:00:00,2023-12-26 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,זיהומים ומכונות אקמו,סיום טיפול,מוצדק,29/01/2024,34
430, 228/22,2022-05-01 00:00:00,2022-05-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,שירות בתי הסוהר,יחידת צור,סיום טיפול,מוצדק,15/06/2022,21
431, 220/22,2022-06-03 00:00:00,2022-05-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,האפוטרופוס הכללי והכונס הרשמי,בקשות - וועד מקומי פדואל,סיום טיפול,מוצדק,10/08/2022,83
432, 594/21,2021-06-24 00:00:00,2021-11-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,קבלת תיק אישי,סיום טיפול,מוצדק,14/04/2022,141
433, 31/22,2021-12-14 00:00:00,2022-01-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,בקשה לקבלת מידע אודות אישורי כבאות במחוז צפון,סיום טיפול,מוצדק,03/03/2022,36
434, 290/24,2024-11-04 00:00:00,2024-12-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"צטמ וצוות להתפרצות הפוליו - ניגודי עניינים""",בטיפול,,,2
435, 275/23,2023-07-18 00:00:00,2023-07-18 00:00:00,טופס מקוון,עמותה,תורת לחימה,אי מתן מענה,"צהל""",מימון לתהליכי שינוי מין,סיום טיפול,מוצדק,21/09/2023,65
436, 217/22,2022-03-14 00:00:00,2022-05-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,מתן כמויות  של מים שהוזרמו לאגודה ובקשות נוספות,סיום טיפול,מוצדק,13/07/2022,56
437, 311/23,2023-05-29 00:00:00,2023-06-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,אלין בית נועם - פרוטוקולים,סיום טיפול,מוצדק,19/09/2023,44
438, 36/22,2021-12-26 00:00:00,2022-01-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,בית חולים וולפסון,שאלוני שביעות רצון חדר 4,סיום טיפול,מוצדק,27/02/2022,28
439, 479/22,2022-06-22 00:00:00,2022-12-12 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבינוי והשיכון,"הגרלה 472 פרוייקט השמורה"" - האחים חסיד""",סיום טיפול,מוצדק,05/01/2023,24
440, 487/22,2022-10-18 00:00:00,2022-12-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,"פרוייקט צילה""",סיום טיפול,מוצדק,20/02/2023,60
441, 58/22,2022-02-14 00:00:00,2022-02-14 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד ראש הממשלה,גיורים וועדות חריגים,סיום טיפול,מוצדק,26/05/2022,101
442, 45/22,2021-11-24 00:00:00,2022-07-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אימות מידע שהתקבל ממוסד אחר ,סיום טיפול,מוצדק,26/05/2022,108
443, 324/22,2022-02-08 00:00:00,2022-03-08 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,רשות האוכלוסין וההגירה,תעודות מעבר לילדי אומנה חסרי מעמד ,סיום טיפול,בלתי מוצדק,18/08/2022,15
444, 242/23,2022-05-26 00:00:00,2023-06-22 00:00:00,טופס מקוון,עמותה,טרנסג'נדרים למען צדק חברתי,אי מתן מענה,משרד הבריאות,זמני המתנה לניתוח להתאמה מגדרית,סיום טיפול,מוצדק,20/12/2023,181
445, 279/22,2022-02-27 00:00:00,2022-06-27 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד התיירות,מיזם אמפיסטאר מכתש רמון,סיום טיפול,מוצדק,20/07/2022,23
446, 229/23,2023-02-01 00:00:00,2023-06-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,מדיניות התנדבות ,סיום טיפול,מוצדק,04/09/2023,81
447, 297/22,2022-05-27 00:00:00,2022-07-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התקשורת,"קבלת עותק רישיון רטן""",סיום טיפול,מוצדק,01/08/2022,14
448, 478/22,2022-06-10 00:00:00,2022-12-12 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,בקשה לקבלת מידע בעניין רשימת המדינות כאמור בבקשתנו,סיום טיפול,מוצדק,07/02/2023,57
449, 472/23,2023-11-13 00:00:00,2023-11-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המכון הרפואי לבטיחות בדרכים,דוח תאונת עבודה,סיום טיפול,מוצדק,21/12/2023,38
450, 272/24,2024-03-04 00:00:00,2024-07-21 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,כספים שהוקפאו מהרשות הפלסטינית,בטיפול,,,24
451, 161/24,2023-09-27 00:00:00,2024-12-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הוצאות משרד הבריאות על משפיעני רשת,סיום טיפול,מוצדק,01/07/2024,51
452, 109/22,2022-02-16 00:00:00,2022-03-20 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משטרת ישראל,"דוחות תנועה בצומת """,סיום טיפול,בלתי מוצדק,03/05/2022,44
453, 368/23,2022-03-30 00:00:00,2023-08-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מינהל התכנון,בקשות ותכניות,סיום טיפול,בלתי מוצדק,04/09/2023,11
454, 245/23,2023-04-04 00:00:00,2023-06-25 00:00:00,טופס מקוון,אחר,,אי מתן מענה,"צהל""",חלוקת מכסות בענף התעשייה והשירותים,סיום טיפול,מוצדק,10/07/2023,15
455, 297/23,2023-04-20 00:00:00,2023-07-27 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""",שינוי סיווג מערכי נגדים במהלך חופשת הפסח 2023,סיום טיפול,מוצדק,21/09/2023,56
456, 24/23,2022-06-11 00:00:00,2023-01-19 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,אי מתן מענה על נתונים שנתבקשו בבקשת חופש מידע ,סיום טיפול,מוצדק,19/02/2023,31
457, 440/23,2022-09-18 00:00:00,2023-10-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,בקשה למידע במסגרת חוק חופש המידע,סיום טיפול,מוצדק,18/01/2024,86
458, 274/24,2024-02-17 00:00:00,2024-07-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,תרומות למחקרים קליניים,בטיפול,,,20
459, 136/24,2023-10-08 00:00:00,2024-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע דחוף,סיום טיפול,בלתי מוצדק,25/07/2024,84
460, 141/24,2022-04-19 00:00:00,2024-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע דחוף,סיום טיפול,בלתי מוצדק,25/07/2024,84
461, 418/22,2022-10-27 00:00:00,2022-10-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,תלונה נגד רכזת האגף במשרד החינוך אילנית שושני,סיום טיפול,מוצדק,30/03/2023,154
462, 101/22,1900-01-01 00:00:00,2022-03-13 00:00:00,טופס מקוון,אזרח,,מידע סביבתי,משרד החינוך,,סיום טיפול,בלתי מוצדק,11/04/2022,29
463, 385/23,2023-01-06 00:00:00,2023-08-27 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""","חוזה מול מועדון הלקוחות יותר""""",סיום טיפול,מוצדק,19/03/2024,205
464, 469/23,2023-05-24 00:00:00,2023-12-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"בקשה לקבלת מידע בעניין דר אשר שלמון""",סיום טיפול,מוצדק,22/01/2024,71
465, 113/22,2022-02-15 00:00:00,2022-03-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,"ועדת האיתור לתפקיד מנהל לפמ""",סיום טיפול,מוצדק,27/04/2022,36
466, 279/23,2022-08-03 00:00:00,2023-07-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,כרם שיזף,סיום טיפול,מוצדק,07/03/2024,232
467, 386/22,2022-03-08 00:00:00,2022-09-20 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד העבודה,צווים שהוטלו על ידי המפחק סימיון,סיום טיפול,מוצדק,03/05/2023,225
468, 281/22,2022-02-26 00:00:00,2022-06-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הקלטת שיחה אשר ביצעתי עם המשרד,סיום טיפול,מוצדק,11/08/2022,44
469, 22/24,2023-11-22 00:00:00,2024-01-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבינוי והשיכון,קביעת שכר דירה,סיום טיפול,בלתי מוצדק,05/02/2024,14
470, 81/24,2023-05-11 00:00:00,2024-08-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה סמוכין 394563 מתאריך 05.11.23 ,סיום טיפול,בלתי מוצדק,13/03/2024,5
471, 107/24,2024-02-28 00:00:00,2024-04-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,דוח תיקופים קו 681,סיום טיפול,מוצדק,20/06/2024,77
472, 416/23,2023-07-30 00:00:00,2023-12-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,מסמכי יכולת פיננסית,סיום טיפול,מוצדק,29/02/2024,170
473, 609/21,2021-08-04 00:00:00,2021-12-12 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,היתרי כניסה לישראל לצורכי עבודה ומניעות כניסת תושב,סיום טיפול,מוצדק,26/05/2022,165
474, 182/24,2024-11-03 00:00:00,2024-05-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,שימוש בפיקדון צבאי,סיום טיפול,מוצדק,29/05/2024,8
